clone	push	retard	01_schema.sql            	02_charger.sql           	04a_query.sql            	04b_query.sql            	04c_query.sql            	04d_query.sql            	depot, etudiant et projet
-----	----	------	-------------------------	-------------------------	-------------------------	-------------------------	-------------------------	-------------------------	-------------------------
128	0	15							gitlab.com/MaxPhaneuf/inf3080-a2019-tp1/
0	0	0	2019-10-22 23:42:36 -0400	2019-10-21 18:34:22 -0400	2019-10-17 01:45:12 -0400	2019-10-17 02:09:08 -0400	2019-10-21 18:22:10 -0400	2019-10-22 23:43:49 -0400	github.com/MaxNicol/inf3080-a2019-tp1
0	0	0	2019-10-22 20:40:36 -0400	2019-10-22 22:52:27 -0400	2019-10-22 22:53:04 -0400	2019-10-22 20:42:30 -0400	2019-10-21 21:58:49 -0400	2019-10-22 20:42:43 -0400	github.com/jadepg/inf3080-a2019-tp1
0	0	0	2019-10-20 23:48:16 -0400	2019-10-21 18:09:16 -0400	2019-10-21 18:44:55 -0400	2019-10-22 10:22:36 -0400	2019-10-21 18:44:55 -0400	2019-10-22 20:25:20 -0400	github.com/JCNrick/inf3080-a2019-tp1
0	0	0	2019-10-22 22:59:00 -0400	2019-10-22 21:53:36 -0400	2019-10-22 22:20:51 -0400	2019-10-21 19:27:33 -0400	2019-10-21 19:59:51 -0400	2019-10-22 09:36:27 -0400	github.com/amelield/inf3080-a2019-tp1
0	0	0	2019-10-21 18:20:45 -0400	2019-10-21 18:20:45 -0400	2019-10-21 18:20:45 -0400	2019-10-21 18:20:45 -0400	2019-10-21 18:20:45 -0400	2019-10-21 18:20:45 -0400	github.com/robidouux/inf3080-a2019-tp1
0	0	0	2019-10-22 21:58:11 -0400	2019-10-21 23:28:44 -0400	2019-10-22 21:55:53 -0400	2019-10-20 17:36:36 -0400	2019-10-20 17:36:36 -0400	2019-10-20 17:36:36 -0400	github.com/SophiePl/inf3080-a2019-tp1
0	0	0	2019-10-22 22:04:08 -0400	2019-10-22 22:05:30 -0400	2019-10-22 20:20:00 -0400	2019-10-22 20:20:00 -0400	2019-10-22 20:20:00 -0400	2019-10-22 20:20:00 -0400	github.com/ahmedsalia/inf3080-a2019-tp1
0	0	0	2019-10-20 16:26:16 -0400	2019-10-21 11:03:32 -0400	2019-10-20 19:33:46 -0400	2019-10-20 19:33:46 -0400	2019-10-20 20:50:15 -0400	2019-10-21 13:15:16 -0400	github.com/Xavier1520/inf3080-a2019-tp1
0	128	0	2019-10-20 10:56:56 -0400	2019-10-20 10:56:56 -0400	2019-10-20 10:56:56 -0400	2019-10-20 10:56:56 -0400	2019-10-20 10:56:56 -0400	2019-10-20 10:56:56 -0400	gitlab.com/Armand.Briere/inf3080-a2019-tp1
0	0	0	2019-10-18 00:07:47 -0400	2019-10-18 00:12:53 -0400	2019-10-20 14:01:56 -0400	2019-10-20 14:01:56 -0400	2019-10-20 14:01:56 -0400	2019-10-20 14:01:56 -0400	github.com/maelissteissier/inf3080-a2019-tp1
0	0	0	2019-10-21 15:53:58 -0400	2019-10-21 15:53:58 -0400	2019-10-17 10:01:20 -0400	2019-10-17 10:01:20 -0400	2019-10-21 15:53:58 -0400	2019-10-21 15:53:58 -0400	github.com/Kevin-Moreau/inf3080-a2019-tp1
0	0	0	2019-10-18 16:57:23 -0400	2019-10-18 22:39:23 -0400	2019-10-18 17:13:48 -0400	2019-10-18 21:07:26 -0400	2019-10-18 21:20:57 -0400	2019-10-18 21:17:00 -0400	github.com/TringaAxel/inf3080-a2019-tp1
0	1	0	2019-10-22 15:06:39 +0000	2019-10-21 04:28:28 +0000	2019-10-21 01:24:29 -0400	2019-10-21 18:58:46 -0400	2019-10-21 19:48:43 -0400	2019-10-22 18:28:05 -0400	gitlab.com/doudoumi/inf3080-a2019-tp1
0	0	0	2019-10-22 20:31:41 -0400	2019-10-22 20:31:41 -0400	2019-10-22 20:31:41 -0400	2019-10-22 20:31:41 -0400	2019-10-22 20:31:41 -0400	2019-10-22 20:31:41 -0400	github.com/ricardoDeMedeiros/inf3080-a2019-tp1
0	0	0	2019-10-20 19:25:15 -0400	2019-10-22 14:57:06 -0400	2019-10-22 14:57:06 -0400	2019-10-22 14:57:06 -0400	2019-10-22 09:15:41 -0400	2019-10-22 09:15:41 -0400	github.com/onwilliam/inf3080-a2019-tp1
0	0	0	2019-10-21 21:54:34 -0400	2019-10-21 22:43:54 -0400	2019-10-21 22:24:15 -0400	2019-10-21 21:40:20 -0400	2019-10-21 21:40:44 -0400	2019-10-21 21:41:05 -0400	github.com/bmassiva/inf3080-a2019-tp1
0	0	0	2019-10-22 18:57:19 -0400	2019-10-22 18:57:19 -0400	2019-10-22 23:18:16 -0400	2019-10-22 18:57:19 -0400	2019-10-22 18:57:19 -0400	2019-10-22 18:57:19 -0400	github.com/amarakeita/inf3080-a2019-tp1
0	0	0	2019-10-22 23:22:45 -0400	2019-10-22 23:22:45 -0400	2019-10-22 23:22:45 -0400	2019-10-22 23:22:45 -0400	2019-10-22 23:22:45 -0400	2019-10-22 23:22:45 -0400	github.com/larbi96/inf3080-a2019-tp1
0	0	15	2019-10-22 22:08:00 -0400	2019-10-22 22:08:00 -0400					github.com/YaSeCA/inf3080-a2019-tp1
0	0	0	2019-10-22 18:57:19 -0400	2019-10-22 18:57:19 -0400	2019-10-22 23:18:16 -0400	2019-10-22 18:57:19 -0400	2019-10-22 18:57:19 -0400	2019-10-22 18:57:19 -0400	github.com/amarakeita/inf3080-a2019-tp1
0	0	0	2019-10-21 22:18:11 -0400	2019-10-22 16:26:51 -0400	2019-10-17 23:57:44 -0400	2019-10-17 23:57:44 -0400	2019-10-16 23:14:33 -0400	2019-10-21 22:18:11 -0400	github.com/ClaudianeT/inf3080-a2019-tp1
0	0	0	2019-10-22 19:59:42 -0400	2019-10-22 19:59:42 -0400	2019-10-22 19:59:42 -0400	2019-10-22 19:59:42 -0400	2019-10-22 19:59:42 -0400	2019-10-22 19:59:42 -0400	github.com/lounissi1/inf3080-a2019-tp1
0	0	0	2019-10-17 20:19:13 -0400	2019-10-17 20:19:13 -0400	2019-10-17 20:19:13 -0400	2019-10-17 20:19:13 -0400	2019-10-17 20:19:13 -0400	2019-10-17 20:19:13 -0400	github.com/salimbsk02/inf3080-a2019-tp1
0	1	0	2019-10-22 03:24:39 -0400	2019-10-22 20:12:17 -0400	2019-10-22 04:28:36 -0400	2019-10-22 04:28:36 -0400	2019-10-22 20:50:56 -0400	2019-10-22 20:40:26 -0400	gitlab.com/stephaniefleurent/inf3080-a2019-tp1
0	0	0	2019-10-22 20:26:49 -0400	2019-10-22 23:05:13 -0400	2019-10-21 21:19:10 -0400	2019-10-21 21:19:55 -0400	2019-10-22 23:01:55 -0400	2019-10-22 22:05:36 -0400	github.com/Momo105/inf3080-a2019-tp1
0	0	0	2019-10-22 13:24:09 -0400	2019-10-20 12:04:00 -0400	2019-10-20 12:04:00 -0400	2019-10-20 12:04:00 -0400	2019-10-20 12:04:00 -0400	2019-10-20 12:04:00 -0400	github.com/DubeJeanFrancois/inf3080-a2019-tp1
0	0	0	2019-10-22 21:14:45 -0400	2019-10-18 02:17:59 -0400	2019-10-18 02:17:59 -0400	2019-10-18 02:17:59 -0400	2019-10-18 02:17:59 -0400	2019-10-18 02:17:59 -0400	github.com/jusave/inf3080-a2019-tp1
0	0	0	2019-10-22 22:54:15 -0400	2019-10-22 22:53:23 -0400	2019-10-22 22:55:40 -0400	2019-10-22 18:14:03 -0400	2019-10-22 18:48:49 -0400	2019-10-22 22:43:36 -0400	github.com/berserk64/inf3080-a2019-tp1
0	0	0	2019-10-22 21:14:45 -0400	2019-10-18 02:17:59 -0400	2019-10-18 02:17:59 -0400	2019-10-18 02:17:59 -0400	2019-10-18 02:17:59 -0400	2019-10-18 02:17:59 -0400	github.com/jusave/inf3080-a2019-tp1
0	0	1	2019-10-23 23:32:29 -0400	2019-10-23 20:01:45 -0400	2019-10-23 18:03:16 -0400	2019-10-23 18:03:16 -0400	2019-10-23 18:03:16 -0400	2019-10-23 19:56:35 -0400	gitlab.com/oli_lamarche/inf3080-a2019-tp1
0	0	15	2019-10-23 22:59:03 -0400	2019-10-23 22:59:03 -0400		2019-10-23 23:38:03 -0400	2019-10-23 23:38:03 -0400		github.com/M-AF/inf3080-a2019-tp1
0	0	0	2019-10-18 23:41:01 -0400	2019-10-18 06:29:31 -0400	2019-10-18 20:34:48 -0400	2019-10-18 20:38:21 -0400	2019-10-19 02:13:44 -0400	2019-10-19 02:43:29 -0400	github.com/bray-vincent/inf3080-a2019-tp1
0	0	15	2019-10-22 10:20:37 -0400		2019-10-22 10:22:36 -0400	2019-10-22 10:23:14 -0400	2019-10-22 10:23:42 -0400	2019-10-22 11:51:14 -0400	github.com/MaximCrudu/inf3080-a2019-tp1
0	0	0	2019-10-22 21:39:22 -0400	2019-10-22 21:39:22 -0400	2019-10-22 21:39:22 -0400	2019-10-22 22:04:07 -0400	2019-10-22 22:04:07 -0400	2019-10-22 22:04:07 -0400	github.com/jeanMarieHab/inf3080-a2019-tp1
0	0	0	2019-10-22 17:00:43 -0400	2019-10-20 21:09:19 -0400	2019-10-21 11:30:20 -0400	2019-10-21 16:13:11 -0400	2019-10-21 14:10:31 -0400	2019-10-21 15:40:45 -0400	github.com/RoiaJanM/inf3080-a2019-tp1
0	0	0	2019-10-20 17:22:45 -0400	2019-10-20 17:22:45 -0400	2019-10-02 21:43:03 -0400	2019-10-05 17:28:36 -0400	2019-10-20 17:22:45 -0400	2019-10-20 17:22:45 -0400	github.com/Alexisbou/inf3080-a2019-tp1
0	0	15							github.com/Fazahrafi/inf3080-a2019-tp1
0	0	15	2019-10-24 23:41:06 -0400	2019-10-24 23:41:49 -0400	2019-10-24 23:58:47 -0400				github.com/alexacl21/inf3080-a2019-tp1
128	0	15							gitlab.info.uqam.ca/shnewer.nefin/inf3080-a2019-tp1
128	0	15							gitlab.info.uqam.ca/singcaster.maude/inf3080-a2019-tp1
# de depot :41

erreur :
128: Le nom du projet est errone ou inexistant.
  1: You are not allowed to push into this branch. *Droits d'ecriture dans la branch master.*
